,E_demand,E_PV,Price_furniture,Price_TURPE_E,Price_TURPE_P,Price_DT_mod,Export_price
84,1477.3333333333335,2125.282,0.07607,0.021,0.01548,,0.1
85,1376.1666666666665,1776.1129999999998,0.07607,0.021,0.01548,,0.1
86,1337.8333333333333,1138.661,0.07607,0.021,0.01548,,0.1
87,1327.0,349.89099999999996,0.07607,0.021,0.01548,,0.1
88,1774.8333333333335,0,0.07607,0.021,0.01548,,0.1
89,1735.833333333333,0,0.07607,0.021,0.01548,,0.1
90,1667.0,0,0.08642,0.028,0.01602,,0.1
91,1596.5,0,0.08642,0.028,0.01602,,0.1
92,1532.4999999999998,0,0.07607,0.021,0.01548,,0.1
93,1528.1666666666665,0,0.07607,0.021,0.01548,,0.1
94,1472.8333333333335,0,0.07607,0.021,0.01548,,0.1
95,1449.6666666666667,0,0.05415,0.0131,0.01306,,0.1
96,1413.6666666666667,0,0.05415,0.0131,0.01306,,0.1
97,1426.6666666666667,0,0.05415,0.0131,0.01306,,0.1
98,1435.9999999999998,0,0.05415,0.0131,0.01306,,0.1
99,1421.3333333333333,0,0.05415,0.0131,0.01306,,0.1
100,1451.1666666666667,0,0.05415,0.0131,0.01306,,0.1
101,1522.0,0,0.05415,0.0131,0.01306,,0.1
102,1644.0,0,0.07607,0.021,0.01548,,0.1
103,1672.8333333333333,0,0.07607,0.021,0.01548,,0.1
104,1756.6666666666665,371.458,0.07607,0.021,0.01548,,0.1
105,1350.6666666666667,622.589,0.08642,0.028,0.01602,,0.1
106,1365.6666666666665,692.571,0.08642,0.028,0.01602,,0.1
107,1356.6666666666665,466.435,0.07607,0.021,0.01548,,0.1
108,1310.3333333333333,466.63800000000003,0.07607,0.021,0.01548,,0.1
109,1306.6666666666667,444.45599999999996,0.07607,0.021,0.01548,,0.1
110,1283.5,263.45,0.07607,0.021,0.01548,,0.1
111,1240.5,163.453,0.07607,0.021,0.01548,,0.1
112,1785.1666666666667,0,0.07607,0.021,0.01548,,0.1
113,1910.5000000000002,0,0.07607,0.021,0.01548,,0.1
114,1891.0,0,0.08642,0.028,0.01602,,0.1
115,1780.6666666666667,0,0.08642,0.028,0.01602,,0.1
116,1709.6666666666667,0,0.07607,0.021,0.01548,,0.1
117,1667.5,0,0.07607,0.021,0.01548,,0.1
118,1535.5,0,0.07607,0.021,0.01548,,0.1
119,1526.3333333333333,0,0.05415,0.0131,0.01306,,0.1
120,1468.1666666666665,0,0.05415,0.0131,0.01306,,0.1
121,1438.6666666666667,0,0.05415,0.0131,0.01306,,0.1
122,1489.1666666666667,0,0.05415,0.0131,0.01306,,0.1
123,1456.3333333333333,0,0.05415,0.0131,0.01306,,0.1
124,1468.6666666666667,0,0.05415,0.0131,0.01306,,0.1
125,1519.8333333333333,0,0.05415,0.0131,0.01306,,0.1
126,1590.3333333333335,0,0.07607,0.021,0.01548,,0.1
127,1683.6666666666665,0,0.07607,0.021,0.01548,,0.1
128,1779.3333333333333,435.059,0.07607,0.021,0.01548,,0.1
129,1280.6666666666665,956.465,0.08642,0.028,0.01602,,0.1
130,1490.8333333333333,1700.3129999999999,0.08642,0.028,0.01602,,0.1
131,1502.0,1760.444,0.07607,0.021,0.01548,,0.1
132,1546.5,1227.937,0.07607,0.021,0.01548,,0.1
133,1565.5,1251.233,0.07607,0.021,0.01548,,0.1
134,1377.1666666666667,863.35,0.07607,0.021,0.01548,,0.1
135,1364.0,278.616,0.07607,0.021,0.01548,,0.1
136,1786.9999999999998,0,0.07607,0.021,0.01548,,0.1
137,1703.8333333333335,0,0.07607,0.021,0.01548,,0.1
138,1706.0,0,0.08642,0.028,0.01602,,0.1
139,1670.1666666666667,0,0.08642,0.028,0.01602,,0.1
140,1637.8333333333333,0,0.07607,0.021,0.01548,,0.1
141,1634.0,0,0.07607,0.021,0.01548,,0.1
142,1539.5,0,0.07607,0.021,0.01548,,0.1
143,1517.1666666666667,0,0.05415,0.0131,0.01306,,0.1
144,1445.0,0,0.05415,0.0131,0.01306,,0.1
145,1423.6666666666665,0,0.05415,0.0131,0.01306,,0.1
146,1439.3333333333333,0,0.05415,0.0131,0.01306,,0.1
147,1443.5,0,0.05415,0.0131,0.01306,,0.1
148,1571.8333333333333,0,0.05415,0.0131,0.01306,,0.1
149,1889.5,0,0.05415,0.0131,0.01306,,0.1
150,1978.5,0,0.07607,0.021,0.01548,,0.1
151,2038.1666666666667,0,0.07607,0.021,0.01548,,0.1
152,1664.1666666666665,416.285,0.07607,0.021,0.01548,,0.1
153,1495.0,860.0419999999999,0.07607,0.021,0.01548,,0.1
154,1433.6666666666667,1436.672,0.07607,0.021,0.01548,,0.1
155,1404.6666666666667,1555.739,0.07607,0.021,0.01548,,0.1
156,1336.8333333333333,1333.524,0.07607,0.021,0.01548,,0.1
157,1201.5,940.5830000000001,0.07607,0.021,0.01548,,0.1
158,1005.4999999999999,346.654,0.07607,0.021,0.01548,,0.1
159,953.5,0,0.07607,0.021,0.01548,,0.1
160,946.9999999999999,0,0.07607,0.021,0.01548,,0.1
161,926.5,0,0.07607,0.021,0.01548,,0.1
162,945.6666666666666,0,0.07607,0.021,0.01548,,0.1
163,936.5,0,0.07607,0.021,0.01548,,0.1
164,938.5,0,0.07607,0.021,0.01548,,0.1
165,925.8333333333333,0,0.07607,0.021,0.01548,,0.1
166,915.6666666666667,0,0.07607,0.021,0.01548,,0.1
167,908.5,0,0.05415,0.0131,0.01306,,0.1
168,915.1666666666667,0,0.05415,0.0131,0.01306,,0.1
169,920.6666666666667,0,0.05415,0.0131,0.01306,,0.1
170,1036.5,0,0.05415,0.0131,0.01306,,0.1
171,1093.6666666666667,0,0.05415,0.0131,0.01306,,0.1
172,1149.1666666666665,0,0.05415,0.0131,0.01306,,0.1
173,1243.1666666666667,0,0.05415,0.0131,0.01306,,0.1
174,1431.0,0,0.07607,0.021,0.01548,,0.1
175,1573.5,0,0.07607,0.021,0.01548,,0.1
176,1701.6666666666665,98.81700000000001,0.07607,0.021,0.01548,,0.1
177,1748.6666666666665,319.388,0.08642,0.028,0.01602,,0.1
178,1681.8333333333335,481.787,0.08642,0.028,0.01602,,0.1
179,1668.3333333333333,329.68699999999995,0.07607,0.021,0.01548,,0.1
180,1694.0000000000002,159.626,0.07607,0.021,0.01548,,0.1
181,1688.5,1588.705,0.07607,0.021,0.01548,,0.1
182,1586.3333333333333,1161.479,0.07607,0.021,0.01548,,0.1
183,1450.8333333333335,426.44699999999995,0.07607,0.021,0.01548,,0.1
184,1399.1666666666667,0,0.07607,0.021,0.01548,,0.1
185,1322.8333333333333,0,0.07607,0.021,0.01548,,0.1
186,1208.5,0,0.08642,0.028,0.01602,,0.1
187,1140.0,0,0.08642,0.028,0.01602,,0.1
188,1255.0,0,0.07607,0.021,0.01548,,0.1
189,1649.0,0,0.07607,0.021,0.01548,,0.1
190,2174.6666666666665,0,0.07607,0.021,0.01548,,0.1
191,2272.3333333333335,0,0.05415,0.0131,0.01306,,0.1
192,2191.0,0,0.05415,0.0131,0.01306,,0.1
193,2250.333333333333,0,0.05415,0.0131,0.01306,,0.1
194,2098.666666666667,0,0.05415,0.0131,0.01306,,0.1
195,2071.8333333333335,0,0.05415,0.0131,0.01306,,0.1
196,2277.0,0,0.05415,0.0131,0.01306,,0.1
197,2413.5,0,0.05415,0.0131,0.01306,,0.1
198,2549.6666666666665,0,0.07607,0.021,0.01548,,0.1
199,2721.4999999999995,0,0.07607,0.021,0.01548,,0.1
200,2784.3333333333335,46.245,0.07607,0.021,0.01548,,0.1
201,2495.0,200.84400000000002,0.08642,0.028,0.01602,,0.1
202,2318.6666666666665,350.621,0.08642,0.028,0.01602,,0.1
203,2022.0,514.194,0.07607,0.021,0.01548,,0.1
204,1838.8333333333335,538.9019999999999,0.07607,0.021,0.01548,,0.1
205,1584.6666666666667,2008.372,0.07607,0.021,0.01548,,0.1
206,1532.6666666666667,1336.6860000000001,0.07607,0.021,0.01548,,0.1
207,1499.0,453.389,0.07607,0.021,0.01548,,0.1
208,1479.8333333333333,0,0.07607,0.021,0.01548,,0.1
209,1419.1666666666667,0,0.07607,0.021,0.01548,,0.1
210,1271.0,0,0.08642,0.028,0.01602,,0.1
211,1163.1666666666667,0,0.08642,0.028,0.01602,,0.1
212,1125.1666666666667,0,0.07607,0.021,0.01548,,0.1
213,1283.8333333333335,0,0.07607,0.021,0.01548,,0.1
214,1707.1666666666667,0,0.07607,0.021,0.01548,,0.1
215,2157.0,0,0.05415,0.0131,0.01306,,0.1
216,2427.333333333333,0,0.05415,0.0131,0.01306,,0.1
217,2730.5,0,0.05415,0.0131,0.01306,,0.1
218,2781.1666666666665,0,0.05415,0.0131,0.01306,,0.1
219,2656.666666666667,0,0.05415,0.0131,0.01306,,0.1
220,2552.333333333333,0,0.05415,0.0131,0.01306,,0.1
221,2309.0,0,0.05415,0.0131,0.01306,,0.1
222,2391.5,0,0.07607,0.021,0.01548,,0.1
223,2343.0,0,0.07607,0.021,0.01548,,0.1
224,2276.8333333333335,539.845,0.07607,0.021,0.01548,,0.1
225,1943.3333333333333,1128.7910000000002,0.08642,0.028,0.01602,,0.1
226,1790.3333333333333,2004.539,0.08642,0.028,0.01602,,0.1
227,1584.6666666666665,1380.705,0.07607,0.021,0.01548,,0.1
228,1506.3333333333333,137.916,0.07607,0.021,0.01548,,0.1
229,1492.8333333333335,573.905,0.07607,0.021,0.01548,,0.1
230,1438.8333333333333,407.54900000000004,0.07607,0.021,0.01548,,0.1
231,1406.0,0,0.07607,0.021,0.01548,,0.1
232,1391.3333333333333,0,0.07607,0.021,0.01548,,0.1
233,1418.5,0,0.07607,0.021,0.01548,,0.1
234,1291.0000000000002,0,0.08642,0.028,0.01602,,0.1
235,1235.5,0,0.08642,0.028,0.01602,,0.1
236,1185.8333333333335,0,0.07607,0.021,0.01548,,0.1
237,1160.0,0,0.07607,0.021,0.01548,,0.1
238,1077.6666666666665,0,0.07607,0.021,0.01548,,0.1
239,1063.1666666666667,0,0.05415,0.0131,0.01306,,0.1
240,1062.0,0,0.05415,0.0131,0.01306,,0.1
241,1351.1666666666667,0,0.05415,0.0131,0.01306,,0.1
242,2097.5,0,0.05415,0.0131,0.01306,,0.1
243,2750.166666666667,0,0.05415,0.0131,0.01306,,0.1
244,3038.1666666666665,0,0.05415,0.0131,0.01306,,0.1
245,3254.333333333333,0,0.05415,0.0131,0.01306,,0.1
246,3709.6666666666665,0,0.07607,0.021,0.01548,,0.1
247,3821.6666666666665,0,0.07607,0.021,0.01548,,0.1
248,3841.1666666666665,505.958,0.07607,0.021,0.01548,,0.1
249,3761.8333333333335,1218.844,0.08642,0.028,0.01602,,0.1
250,3124.6666666666665,1609.549,0.08642,0.028,0.01602,,0.1
251,2420.8333333333335,1984.316,0.07607,0.021,0.01548,,0.1
252,2133.8333333333335,2025.736,0.07607,0.021,0.01548,,0.1
253,2001.8333333333333,1319.0339999999999,0.07607,0.021,0.01548,,0.1
254,2055.0,990.1289999999999,0.07607,0.021,0.01548,,0.1
255,2035.3333333333333,394.73,0.07607,0.021,0.01548,,0.1
256,1952.6666666666667,0,0.07607,0.021,0.01548,,0.1
257,1881.4999999999998,0,0.07607,0.021,0.01548,,0.1
258,1857.5,0,0.08642,0.028,0.01602,,0.1
259,1705.8333333333333,0,0.08642,0.028,0.01602,,0.1
260,1507.6666666666665,0,0.07607,0.021,0.01548,,0.1
261,1441.3333333333333,0,0.07607,0.021,0.01548,,0.1
262,1524.9999999999998,0,0.07607,0.021,0.01548,,0.1
263,1714.3333333333333,0,0.05415,0.0131,0.01306,,0.1
264,1856.3333333333333,0,0.05415,0.0131,0.01306,,0.1
265,2085.3333333333335,0,0.05415,0.0131,0.01306,,0.1
266,2099.0,0,0.05415,0.0131,0.01306,,0.1
267,1978.9999999999998,0,0.05415,0.0131,0.01306,,0.1
268,1762.0,0,0.05415,0.0131,0.01306,,0.1
269,1847.1666666666665,0,0.05415,0.0131,0.01306,,0.1
270,2021.5000000000002,0,0.07607,0.021,0.01548,,0.1
271,2283.8333333333335,0,0.07607,0.021,0.01548,,0.1
272,2324.1666666666665,483.94699999999995,0.07607,0.021,0.01548,,0.1
273,2343.0,1153.483,0.08642,0.028,0.01602,,0.1
274,2281.6666666666665,1891.7910000000002,0.08642,0.028,0.01602,,0.1
275,2164.0,2275.025,0.07607,0.021,0.01548,,0.1
276,2137.666666666667,2327.234,0.07607,0.021,0.01548,,0.1
277,2241.5,1978.53,0.07607,0.021,0.01548,,0.1
278,1961.6666666666667,1266.507,0.07607,0.021,0.01548,,0.1
279,1898.1666666666665,456.716,0.07607,0.021,0.01548,,0.1
280,1777.1666666666665,0,0.07607,0.021,0.01548,,0.1
281,1641.1666666666667,0,0.07607,0.021,0.01548,,0.1
282,1376.6666666666665,0,0.08642,0.028,0.01602,,0.1
283,1274.8333333333333,0,0.08642,0.028,0.01602,,0.1
284,1166.3333333333335,0,0.07607,0.021,0.01548,,0.1
285,1233.8333333333335,0,0.07607,0.021,0.01548,,0.1
286,1357.8333333333333,0,0.07607,0.021,0.01548,,0.1
287,1412.1666666666665,0,0.05415,0.0131,0.01306,,0.1
288,1379.0,0,0.05415,0.0131,0.01306,,0.1
289,1476.6666666666665,0,0.05415,0.0131,0.01306,,0.1
290,1581.4999999999998,0,0.05415,0.0131,0.01306,,0.1
291,1543.0,0,0.05415,0.0131,0.01306,,0.1
292,1822.5,0,0.05415,0.0131,0.01306,,0.1
293,2208.0,0,0.05415,0.0131,0.01306,,0.1
294,2653.6666666666665,0,0.07607,0.021,0.01548,,0.1
295,3089.3333333333335,0,0.07607,0.021,0.01548,,0.1
296,3303.1666666666665,438.221,0.07607,0.021,0.01548,,0.1
297,3431.9999999999995,1043.4460000000001,0.08642,0.028,0.01602,,0.1
298,3323.1666666666665,1411.911,0.08642,0.028,0.01602,,0.1
299,2521.3333333333335,1418.861,0.07607,0.021,0.01548,,0.1
300,1855.6666666666665,1597.9520000000002,0.07607,0.021,0.01548,,0.1
301,1491.1666666666665,1752.987,0.07607,0.021,0.01548,,0.1
302,1440.9999999999998,1227.5410000000002,0.07607,0.021,0.01548,,0.1
303,1398.1666666666665,521.3430000000001,0.07607,0.021,0.01548,,0.1
304,1324.3333333333335,0,0.07607,0.021,0.01548,,0.1
305,1409.5,0,0.07607,0.021,0.01548,,0.1
306,1608.0,0,0.08642,0.028,0.01602,,0.1
307,1537.6666666666665,0,0.08642,0.028,0.01602,,0.1
308,1574.8333333333335,0,0.07607,0.021,0.01548,,0.1
309,2048.0,0,0.07607,0.021,0.01548,,0.1
310,2508.0000000000005,0,0.07607,0.021,0.01548,,0.1
311,2565.0,0,0.05415,0.0131,0.01306,,0.1
312,3235.5000000000005,0,0.05415,0.0131,0.01306,,0.1
313,3701.8333333333335,0,0.05415,0.0131,0.01306,,0.1
314,3839.0,0,0.05415,0.0131,0.01306,,0.1
315,3466.9999999999995,0,0.05415,0.0131,0.01306,,0.1
316,3153.6666666666665,0,0.05415,0.0131,0.01306,,0.1
317,3067.1666666666665,0,0.05415,0.0131,0.01306,,0.1
318,2757.166666666667,0,0.07607,0.021,0.01548,,0.1
319,2489.333333333333,0,0.07607,0.021,0.01548,,0.1
320,2470.0,123.819,0.07607,0.021,0.01548,,0.1
321,2350.3333333333335,274.673,0.07607,0.021,0.01548,,0.1
322,1874.0,400.715,0.07607,0.021,0.01548,,0.1
323,1793.3333333333333,390.851,0.07607,0.021,0.01548,,0.1
324,1864.3333333333335,352.44300000000004,0.07607,0.021,0.01548,,0.1
325,2362.6666666666665,290.375,0.07607,0.021,0.01548,,0.1
326,2969.833333333333,192.71900000000002,0.07607,0.021,0.01548,,0.1
327,3010.833333333333,64.876,0.07607,0.021,0.01548,,0.1
328,3058.1666666666665,0,0.07607,0.021,0.01548,,0.1
329,3119.0,0,0.07607,0.021,0.01548,,0.1
330,3046.0,0,0.07607,0.021,0.01548,,0.1
331,2833.5,0,0.07607,0.021,0.01548,,0.1
332,2311.666666666667,0,0.07607,0.021,0.01548,,0.1
333,1520.6666666666667,0,0.07607,0.021,0.01548,,0.1
334,1469.0,0,0.07607,0.021,0.01548,,0.1
335,1440.3333333333335,0,0.05415,0.0131,0.01306,,0.1
336,1294.0,0,0.05415,0.0131,0.01306,,0.1
337,1173.3333333333335,0,0.05415,0.0131,0.01306,,0.1
338,1443.3333333333333,0,0.05415,0.0131,0.01306,,0.1
339,2040.5,0,0.05415,0.0131,0.01306,,0.1
340,2704.0,0,0.05415,0.0131,0.01306,,0.1
341,3221.0,0,0.05415,0.0131,0.01306,,0.1
342,3527.666666666667,0,0.07607,0.021,0.01548,,0.1
343,3689.5,0,0.07607,0.021,0.01548,,0.1
344,3816.6666666666665,190.343,0.07607,0.021,0.01548,,0.1
345,3893.9999999999995,352.667,0.08642,0.028,0.01602,,0.1
346,3921.833333333333,403.975,0.08642,0.028,0.01602,,0.1
347,3041.5,410.129,0.07607,0.021,0.01548,,0.1
348,2232.833333333333,380.316,0.07607,0.021,0.01548,,0.1
349,1877.5,359.751,0.07607,0.021,0.01548,,0.1
350,1609.5,227.894,0.07607,0.021,0.01548,,0.1
351,1494.8333333333333,82.52600000000001,0.07607,0.021,0.01548,,0.1
352,1507.8333333333333,0,0.07607,0.021,0.01548,,0.1
353,1453.0,0,0.07607,0.021,0.01548,,0.1
354,1477.0,0,0.08642,0.028,0.01602,,0.1
355,1417.3333333333333,0,0.08642,0.028,0.01602,,0.1
356,1291.0,0,0.07607,0.021,0.01548,,0.1
357,1253.1666666666665,0,0.07607,0.021,0.01548,,0.1
358,1133.5,0,0.07607,0.021,0.01548,,0.1
359,1099.1666666666667,0,0.05415,0.0131,0.01306,,0.1
360,1226.6666666666665,0,0.05415,0.0131,0.01306,,0.1
361,1264.6666666666667,0,0.05415,0.0131,0.01306,,0.1
362,1359.0,0,0.05415,0.0131,0.01306,,0.1
363,1357.6666666666667,0,0.05415,0.0131,0.01306,,0.1
364,1366.0,0,0.05415,0.0131,0.01306,,0.1
365,1550.1666666666665,0,0.05415,0.0131,0.01306,,0.1
366,1548.5,0,0.07607,0.021,0.01548,,0.1
367,1642.0,0,0.07607,0.021,0.01548,,0.1
368,1695.5,80.085,0.07607,0.021,0.01548,,0.1
369,1738.5000000000002,191.43200000000002,0.08642,0.028,0.01602,,0.1
370,1815.1666666666667,269.764,0.08642,0.028,0.01602,,0.1
371,1641.1666666666667,289.344,0.07607,0.021,0.01548,,0.1
372,1631.0,278.995,0.07607,0.021,0.01548,,0.1
373,1433.9999999999998,234.044,0.07607,0.021,0.01548,,0.1
374,1473.3333333333335,142.398,0.07607,0.021,0.01548,,0.1
375,1952.5,44.385,0.07607,0.021,0.01548,,0.1
376,2222.1666666666665,0,0.07607,0.021,0.01548,,0.1
377,1933.1666666666665,0,0.07607,0.021,0.01548,,0.1
378,1758.6666666666667,0,0.08642,0.028,0.01602,,0.1
379,1656.3333333333335,0,0.08642,0.028,0.01602,,0.1
380,1575.5,0,0.07607,0.021,0.01548,,0.1
381,1479.3333333333333,0,0.07607,0.021,0.01548,,0.1
382,1428.3333333333333,0,0.07607,0.021,0.01548,,0.1
383,1406.0,0,0.05415,0.0131,0.01306,,0.1
384,1388.8333333333333,0,0.05415,0.0131,0.01306,,0.1
385,1412.9999999999998,0,0.05415,0.0131,0.01306,,0.1
386,1432.5,0,0.05415,0.0131,0.01306,,0.1
387,1475.0,0,0.05415,0.0131,0.01306,,0.1
388,1702.5,0,0.05415,0.0131,0.01306,,0.1
389,2231.0,0,0.05415,0.0131,0.01306,,0.1
390,2716.8333333333335,0,0.07607,0.021,0.01548,,0.1
391,3245.333333333333,0,0.07607,0.021,0.01548,,0.1
392,3537.8333333333335,505.43300000000005,0.07607,0.021,0.01548,,0.1
393,3814.6666666666665,1149.422,0.08642,0.028,0.01602,,0.1
394,3625.833333333334,1775.5479999999998,0.08642,0.028,0.01602,,0.1
395,3180.5,2103.25,0.07607,0.021,0.01548,,0.1
396,2174.6666666666665,2115.2929999999997,0.07607,0.021,0.01548,,0.1
397,1948.0,1838.981,0.07607,0.021,0.01548,,0.1
398,1882.1666666666667,1246.405,0.07607,0.021,0.01548,,0.1
399,1845.1666666666667,502.94699999999995,0.07607,0.021,0.01548,,0.1
400,1928.6666666666667,0,0.07607,0.021,0.01548,,0.1
401,2329.5,0,0.07607,0.021,0.01548,,0.1
402,2485.333333333333,0,0.08642,0.028,0.01602,,0.1
403,3076.5,0,0.08642,0.028,0.01602,,0.1
404,3411.5,0,0.07607,0.021,0.01548,,0.1
405,3606.1666666666665,0,0.07607,0.021,0.01548,,0.1
406,3617.4999999999995,0,0.07607,0.021,0.01548,,0.1
407,3723.3333333333335,0,0.05415,0.0131,0.01306,,0.1
408,3646.666666666666,0,0.05415,0.0131,0.01306,,0.1
409,3469.9999999999995,0,0.05415,0.0131,0.01306,,0.1
410,3061.5000000000005,0,0.05415,0.0131,0.01306,,0.1
411,2776.4999999999995,0,0.05415,0.0131,0.01306,,0.1
412,2761.3333333333335,0,0.05415,0.0131,0.01306,,0.1
413,2838.666666666667,0,0.05415,0.0131,0.01306,,0.1
414,2981.0,0,0.07607,0.021,0.01548,,0.1
415,3001.666666666667,0,0.07607,0.021,0.01548,,0.1
416,2868.1666666666665,514.161,0.07607,0.021,0.01548,,0.1
417,2873.8333333333335,1208.02,0.08642,0.028,0.01602,,0.1
418,1985.3333333333335,1926.8670000000002,0.08642,0.028,0.01602,,0.1
419,1626.3333333333333,1819.42,0.07607,0.021,0.01548,,0.1
420,1598.0,1990.2720000000002,0.07607,0.021,0.01548,,0.1
